Protein	U148_set8_201216_20	U124_200805_03	UpoolS12_200827_02	U22_200807_07	U406_set6_201125_3	U367_set6_201125_13	U480_200807_01	U34_200805_08	U359_200827_04	U77_set8_201216_21	U441_set6_201125_17	U124_200827_06	U37_200807_03	U386_set6_201125_8	Upool_201125_201128211109_11	U125_200805_09	U496_200805_06	Upool_200827_swtch_10	UpoolS1_200827_08	U64_200805_07	U58_set8_201216_22	Upool_201216_201221032402_25	Upool_201216_201221064807_26	U415_200912_11	Upool_200925_12	U100_200805_04	U297_200827_03	Upool_201125_201201055914_25	U461_set8_201216_23	U126_set8_201216_24	Upool_201130_201202035550_1	U170_set4_200930_7	U253_set4_200930_201001024335_6	U221_set4_200930_3	U379_set6_201125_24	U432_set3_200925_5	U169_set4_200930_8	Upool_200925_11	U412_set3_200926_16	Upool_200921_200922042327	U424_200912_15	U253_set4_200930_4	U458_set3_200926_15	U411_set3_200925_9	U415_set3_200926_13	U448_set7_201130_2	U221_set4_200930_200930231546_5	Upool_200910_37	U437_200912_8	U468_set7_201130_3	U473_set7_201130_4	U451_set7_201130_5	U456_set4_200930_15	Upool_200930_201004231713_28	Upool_200930_201003213301_22	U314_set5_201121_15	U321_set5_201121_12	U472_set7_201130_6	U215_set4_200930_25	U318_set5_201121_8	U208_set4_200930_26	U279_set5_201121_22	U512_set4_200930_18	U470_set7_201130_7	Upool_200930_13	U264_set4_200930_23	U286_set5_201121_17	U457_set7_201130_8	U324_set5_201121_4	Upool_201121_1	U270_set5_201121_6	U505_set7_201130_9	Upool_201130_10	U471_200805_05	U455_set7_201130_11	U476_set7_201130_12	U413_200912_1	U427_200912_9	Upool_200921_1	Upool_200926_22	Upool_201121_201121180315_2	U331_set5_201121_3	U181_set4_200930_9	U302_set5_201121_7	U260_set4_200930_12	U463_set7_201130_13	U518_set7_201130_14	U506_set7_201130_15	U1_set4_200930_19	U313_set5_201121_23	U185_set4_200930_14	Upool_201121_201123053643_11	U262_set4_200930_17	U535_set4_200930_24	U281_set5_201121_18	U269_set5_201121_5	U444_set7_201130_16	U525_set7_201130_17	U485_set7_201130_18	U394_200827_23	U362_200827_26	U363_200827_24	Upool_200827e_27	U393_200827_13	U399_200827_12	U343_200827_16	U402_200827_11	Upool_200827_S1234_15	U395_200827_28	Upool_201130_201205041116_19	U404_200827_17	Upool_201121_201126002127_20	U275_200827_29	U346_set6_201125_18	UpoolS1_200805_01	U365_200827_19	U304_200827_22	U484_set7_201130_20	U290_200827_30	U377_set6_201125_23	U326_200827_20	U355_200827_18	U459_set7_201130_21	U478_set7_201130_22	U502_set7_201130_23	Upool_201130_201206012949_24	U290_set2_200925_3	U11_set1_200921_3	Upool_200910_31	Upool_200910_32	U412_200912_13	U436_200912_20	U432_200912_19	Upool_200925_1	Upool_201130_201206045851_25	Upool_200921_2	U450_200912_4	U429_200912_2	U433_200912_18	U425_200912_7	Upool_200912_6	U443_200912_5	Upool_200912_12	Upool_201216_1	U452_200912_16	U422_200912_3	Upool_200912_17	U458_200912_10	Upool_201216_201216215309_2	U108_set8_201216_3	U530_set8_201216_4	U85_set8_201216_5	U155_set4_200930_10	U177_set4_200930_11	U220_set4_200930_21	U317_set5_201121_9	U452_set3_200926_20	Upool_200929_1	Upool_200925_10	Upool_200929_200930064751_2	U5_set8_201216_7	U433_set3_200926_21	U442_set3_200926_17	U405_set3_200925_7	U384_set2_200925_4	U319_set2_200925_3	U328_set5_201121_10	U432_set3_200925_6	U209_set4_200930_20	U39_set8_201216_8	Upool_200930_201004194741_27	U436_set3_200925_8	U414_set3_200926_18	U424_set3_200926_19	U118_set8_201216_9	U62_set8_201216_11	U278_set5_201121_14	Upool_201125_1	U419_set6_201125_5	U287_set5_201121_16	U407_set6_201125_4	Upool_201125_201127093210_2	U311_set5_201121_21	U335_set6_201125_15	U329_set8_201216_10	U298_set5_201121_19	U438_set6_201125_6	Upool_201121_201127004651_26	U417_set6_201125_19	U332_set6_201125_16	U280_set5_201121_13	Upool_201125_201130085139_20	U388_set6_201125_10	U75_set8_201216_11	U353_set6_201125_9	U296_set5_201121_24	U381_set6_201125_7	U347_set6_201125_14	U139_set8_201216_12	U69_set8_201216_13	U527_set8_201216_14	U494_set8_201216_15	UpoolS1_200807_08	U351_set6_201125_22	U146_200807_06	U11_200805_02	UpoolS1_200805_10	UpoolS12_200827_01	U275_set2_200925_2	U70_200805_13	U14_200807_04	Upool_200827_swtch_07	U493_200807_02	U428_set6_201125_21	U383_set6_201125_12	nFragment	nPeptide
O14791	394869	310314	345503	406453	417982	381654	417020	246194	168540	375796	405841	264111	476966	416814	331040	242645	385930	442295	347923	381170	380521	395354	375292	400138	359944	314138	347055	339909	373194	373262	351238	434942	313968	265282	360386	312529	243958	353926	460767	325247	236309	398082	313391	562439	284453	430427	330922	228249	367352	294858	351000	325354	421493	332292	498642	247488	402605	309015	255509	374341	360147	438124	294081	370129	253382	332152	390776	393684	362751	328614	570015	315221	340884	306522	340871	421705	204072	325787	432705	286474	376673	373022	354509	348573	306240	382587	391614	378429	304544	469391	286601	477344	377538	304735	457128	283909	410496	425805	440758	357976	440127	338075	419295	353084	335110	290694	290976	171056	402980	377004	365449	345065	554547	381603	387616	253163	280177	377177	499846	366505	330838	407610	333092	348860	406217	405404	516430	263914	271989	284938	373757	341651	333713	458193	334797	366355	576561	205927	336085	453122	327904	380758	185040	401850	426258	422599	456254	209933	379702	388390	329852	321410	349141	431568	594675	344089	320249	378477	271479	478521	334596	398670	309180	432688	287228	256607	259730	271559	462963	374443	499303	343037	259133	449288	398239	386703	327319	315286	524569	254294	339787	219014	473824	343092	376725	401222	379294	430871	318387	410784	390560	206303	376954	336593	435131	571176	319715	271998	346702	344398	383629	398389	386733	310778	371391	372972	330482	253693	356184	460206	252505	342995	336262	664935	293100	46	10
O43866	940287	1.27535e+006	581906	849444	656036	268809	777862	1.28485e+006	416153	766195	551010	938562	1.89119e+006	377070	459408	660312	1.3219e+006	1.11312e+006	1.65669e+006	405727	601398	583171	577797	951057	835237	911939	427973	947332	799286	825809	1.00026e+006	454397	737669	500473	1.01986e+006	1.1517e+006	689011	1.11616e+006	735391	1.3893e+006	331675	474654	400230	705903	1.03994e+006	1.23867e+006	456854	698516	1.04868e+006	690925	678563	637585	942548	1.15352e+006	488053	1.17104e+006	1.10516e+006	680524	908477	373418	418370	686274	680888	668823	1.27579e+006	440586	941636	639724	531442	685726	1.26225e+006	806565	810410	674848	807640	787298	442116	654380	420212	1.01154e+006	769637	752592	778522	1.54321e+006	654255	627061	684954	630203	679065	800954	1.42928e+006	770809	908999	524942	1.03506e+006	418867	871949	725486	712074	904730	597196	838847	549215	377897	521530	1.48305e+006	858560	803412	1.91601e+006	669106	612805	566762	589324	1.48612e+006	1.05341e+006	508686	1.02741e+006	728759	456646	309547	1.41194e+006	865252	682018	840643	907113	872925	563300	341821	280017	1.13831e+006	1.15897e+006	1.72792e+006	424004	533119	691851	849169	643809	2.39573e+006	607449	1.39497e+006	398371	1.24145e+006	587425	709211	647613	737324	632508	942373	738158	729651	609514	607926	1.1595e+006	1.05468e+006	736957	1.16562e+006	475336	2.46902e+006	656149	326825	724624	457707	535584	512017	2.00304e+006	993056	594393	731918	484196	888920	824677	1.60526e+006	466688	306562	966732	726659	1.31907e+006	1.25209e+006	432393	211616	279286	1.72548e+006	833482	2.14626e+006	642436	376386	1.15255e+006	1.08415e+006	807424	1.42766e+006	482550	1.11162e+006	838149	736706	313857	662017	617664	570564	865493	819793	609176	622943	880775	615076	751243	1.46328e+006	1.27598e+006	779645	1.09313e+006	684159	289966	959333	715850	366684	925200	47	10
O75460	84956.5	65461.9	82164.8	35620.8	27964.8	73785.8	107566	38365.6	87987.6	80150.8	45220.2	57501.7	91901.9	99465	39917.3	49750.6	48295.2	98773	88035.7	37896.8	99945	72953.7	65093.1	151323	20780.9	49807	88077.5	54739.8	78205	73790.6	54153.4	59020.8	78886.3	52916.4	55744.2	76358.8	45181.7	115868	94255.1	130210	95997	82780.5	38647.5	65146.8	40563.7	65372.8	15396.8	37828.5	56242.2	71713	72430.8	70070.8	31588.3	70290.7	64988.1	55079	99557.3	62130.5	55343	57402.3	6341.4	74400.4	6341.4	6341.4	6341.4	9644.24	72040.6	15831.3	6341.4	6341.4	6341.4	73755.3	70439.3	46428.8	70922.1	84868.8	32613.7	33492.6	39867.5	68689.1	66770.9	64760.6	72216.5	77422.1	81356.6	83740.1	87293.9	78598.7	50869.2	89969.2	32265.9	88813.8	73015.4	20022	89654.4	54074.2	75414	94080.5	99448.2	48531.8	24641.5	53317.9	26424.5	109624	61480.3	117229	95318.6	78331.3	41000.3	80677.3	100232	60138.7	31531	62380.1	81907.6	80018.4	91699.1	49253.6	65546.7	6341.4	46973.9	90596.8	70956.3	45138.2	90134.8	82872	74696.8	93499.6	39968.2	41484.2	75396.4	68105.7	87169.8	56299.9	102188	54924.6	45741.4	16076.4	65793.3	64659.6	81288.3	27452	52865.1	119069	66964	54348.1	75786	35976.2	97936.6	107379	74706.6	80980.1	42427.2	93758.8	70450	37781	64542	66629.9	91473.7	40021.4	72096.3	78504	49160.6	71440.5	101893	79030.2	24248.5	83635.5	44223.4	76658	81990.4	99232.8	42258.4	49123.5	74013.6	68614.7	83158.2	35448.6	64860.2	67827.1	85951.6	54342.9	65134.6	73863.4	61289.9	76450.7	61202.8	64554.2	49891.8	105264	72439.2	87780.5	67993.5	58273.8	49546.9	60524.3	57243.7	17144.6	64967.3	64683.9	77018	74400.2	41191.1	6341.4	108389	63419.6	52616.8	29117.2	74378.1	64224.2	27444.3	65491.6	76085.6	67890.2	109264	10	2
O75636	130898	129766	139977	229161	149322	163441	161904	105832	104025	135177	232074	150817	175307	149066	171730	152795	113646	116252	177101	169391	120768	131381	138543	183397	58954.3	126858	145202	174317	159027	149934	175973	248146	112491	150917	154641	149393	106348	98340.1	139225	155760	196823	193771	149566	154892	117820	140106	147905	155609	175692	168886	152745	175446	142326	156441	146477	107410	158864	156050	132076	183314	109146	153208	86512.3	109097	116697	54315.2	83104.6	119201	143712	163646	107461	153147	150393	71435.8	146373	140082	146012	158646	162477	118551	171634	169596	158213	163188	219644	120495	121314	125883	182738	187920	165960	171230	137738	115498	154904	159137	111360	121962	134424	143178	140181	122098	138067	190084	95118	227574	159600	184521	121811	124839	239381	178594	114946	53137.2	239999	157169	154172	119816	232434	311239	116440	187062	127361	108310	110594	100474	106950	189491	181855	181251	213645	226375	110713	132350	130818	94771.1	160615	229262	159700	146032	178908	104411	86135.3	142520	189131	187856	120139	150293	147732	139558	115791	109684	158777	182510	86474.9	217735	177616	136221	189913	384723	89991.9	91258.3	193207	143430	197538	128764	71769.2	184949	164801	111824	164860	160916	233973	135267	113211	150574	126331	100306	138702	177769	164038	67839	342695	168177	135166	151460	141264	111805	188247	154401	223142	145902	94464.1	125001	174871	195407	162420	145282	136737	124255	123127	120132	186057	183603	124125	154875	162103	160381	139867	83169.9	134407	150504	183162	53096.5	118514	33	7
O75882	117152	139315	126281	108460	102116	131868	124946	95929.6	109763	117182	129472	118704	122631	133478	110365	151835	130136	117731	113805	119178	125737	132692	128054	110670	113965	135446	132619	120268	110318	110751	102723	155858	102354	133170	82839.3	109502	109092	138346	152412	98582.3	120852	132642	145555	158911	143625	120124	109159	104416	80362.8	107736	119347	108954	120070	122459	113492	108139	115253	106455	134534	131780	134484	87620.9	102169	90346.9	99397	192709	128430	83715.8	168959	174442	177857	117180	117516	126174	118176	93005.5	79443.9	43804.2	149990	80534.7	138830	136455	156087	123534	110347	71633.9	119521	116558	168745	103320	115694	129378	127229	147205	119559	105502	143517	142740	128839	124502	107649	109735	107896	126176	136431	129627	118534	117118	112397	114463	131881	142981	117078	96343.5	107677	114356	132564	118713	126459	155459	111797	140891	104406	123884	112795	112531	112902	135822	132305	137092	120252	115093	136452	114995	103416	112082	121354	126393	124921	133862	117828	112098	126260	115722	126632	114842	155468	94977.5	121131	119925	113424	112962	134481	138630	112099	102532	125621	98491.6	121617	160638	107307	114901	126340	146347	92882.1	124451	119677	123982	137190	113775	108298	112403	138337	119883	121726	127757	112113	128365	109478	112429	121801	105208	137930	120342	122775	128953	124771	121817	125839	113780	112486	113881	117777	128226	131442	122941	116593	118924	119061	121720	123513	123729	107864	110726	110400	151247	111551	117771	103225	131625	132325	142538	129345	133232	93642.1	17	4
O95445	443545	500834	381467	421372	518877	362516	437947	429295	306767	406148	569126	507094	497642	564494	475283	506367	508587	451291	260105	369841	426961	443230	438355	563073	360580	480580	395631	418246	450753	458475	447292	505347	461695	472904	462235	318190	345681	492514	435930	477148	581431	296086	434205	551249	470996	462688	460105	293310	516133	449913	425549	490394	604140	421829	414630	416886	425841	418174	277710	614173	793283	219498	304213	364223	400556	499717	342104	320147	666266	548001	511952	498553	481320	458895	492381	485976	246418	387012	511736	397288	406079	408028	527160	439397	328855	495788	510229	444969	438563	277925	487807	297496	350449	595339	477922	400826	669217	398676	433695	561156	547044	475082	494525	412234	457176	265503	319933	402739	728449	342236	395908	558097	662077	498919	361097	481918	289667	442510	303356	632961	614561	308610	375078	564450	432083	403720	455706	341893	450970	379530	448566	427866	658270	378709	476489	503864	518069	365749	407103	567579	539469	418054	363711	412086	386178	462124	462013	398550	446002	437734	473613	470474	420993	401336	158790	414682	431400	442048	465079	998954	432048	448877	395536	541471	256190	499942	664329	406409	534741	439371	336372	415318	327130	597656	452737	479352	355460	558520	403694	512059	384535	428387	428929	322994	469990	448271	461057	438093	603292	424381	473153	424465	462436	441220	329342	385387	504889	544387	429276	390697	403599	430697	581493	328787	390292	583787	411651	373960	398104	562813	566801	437770	453988	561679	334539	33	7
P00450	7.01039e+006	7.00657e+006	4.84915e+006	6.80875e+006	6.15916e+006	6.26692e+006	7.35254e+006	6.02087e+006	7.48353e+006	7.13853e+006	4.79931e+006	6.79232e+006	6.21359e+006	6.6649e+006	5.25496e+006	7.57874e+006	9.55278e+006	6.0857e+006	5.75103e+006	5.3758e+006	6.43899e+006	7.06449e+006	6.99669e+006	7.29534e+006	5.43352e+006	7.47669e+006	5.03327e+006	6.88191e+006	6.75025e+006	6.88954e+006	6.57765e+006	5.41886e+006	6.47442e+006	6.68789e+006	6.55554e+006	5.68053e+006	5.74335e+006	7.65549e+006	8.05553e+006	6.72764e+006	5.91084e+006	7.72198e+006	6.41405e+006	5.591e+006	5.69802e+006	7.77889e+006	5.6649e+006	5.59697e+006	5.56252e+006	6.59814e+006	6.30374e+006	6.73405e+006	6.28455e+006	5.23395e+006	9.64509e+006	5.66885e+006	8.40663e+006	6.31696e+006	5.54867e+006	7.46247e+006	8.44064e+006	4.05239e+006	5.12765e+006	8.34299e+006	5.10448e+006	4.71337e+006	8.40394e+006	8.86345e+006	5.69744e+006	7.09877e+006	6.39418e+006	6.19222e+006	5.7793e+006	6.68047e+006	5.69322e+006	8.03544e+006	5.249e+006	4.55844e+006	6.62729e+006	6.01738e+006	7.29171e+006	7.13546e+006	6.62001e+006	7.22707e+006	5.76548e+006	6.93912e+006	7.58847e+006	7.42585e+006	4.51634e+006	4.06704e+006	6.76384e+006	9.9468e+006	6.1911e+006	8.65571e+006	7.34326e+006	6.89321e+006	6.08048e+006	6.71234e+006	6.74425e+006	6.17789e+006	5.45139e+006	6.12455e+006	5.85596e+006	8.16574e+006	6.84488e+006	7.35839e+006	6.39977e+006	5.49304e+006	6.29494e+006	6.1072e+006	8.23992e+006	4.1375e+006	9.74365e+006	5.45236e+006	7.75516e+006	7.27344e+006	6.71835e+006	5.84283e+006	1.10589e+007	2.91556e+006	5.1726e+006	3.89173e+006	6.24168e+006	5.24437e+006	6.55515e+006	6.5731e+006	8.56019e+006	6.09708e+006	5.54601e+006	4.70461e+006	6.0055e+006	4.47477e+006	7.62592e+006	1.05861e+007	5.8665e+006	7.08888e+006	1.00381e+007	5.4789e+006	5.83815e+006	4.9005e+006	6.37739e+006	4.79054e+006	8.49699e+006	6.62332e+006	5.76158e+006	7.54298e+006	5.41819e+006	6.75818e+006	6.53144e+006	6.57198e+006	6.60484e+006	6.49637e+006	6.0633e+006	4.64831e+006	1.14796e+007	6.2436e+006	6.37018e+006	7.31668e+006	5.08953e+006	7.45982e+006	6.65639e+006	6.64014e+006	6.47736e+006	5.15172e+006	4.42881e+006	6.21314e+006	7.32771e+006	6.60995e+006	5.99667e+006	6.44688e+006	7.18794e+006	6.72437e+006	5.93603e+006	9.23627e+006	6.2155e+006	6.80221e+006	5.65798e+006	6.4942e+006	9.34138e+006	5.27383e+006	6.66163e+006	5.60425e+006	5.30476e+006	7.27454e+006	6.81782e+006	6.74436e+006	5.65356e+006	5.71591e+006	6.58873e+006	8.22981e+006	5.1644e+006	7.00218e+006	6.77691e+006	6.69924e+006	6.64092e+006	9.29253e+006	4.94104e+006	4.33271e+006	6.46124e+006	6.79519e+006	6.41484e+006	6.81005e+006	6.6651e+006	4.87827e+006	7.47557e+006	5.94302e+006	5.62447e+006	5.12959e+006	7.57525e+006	7.62356e+006	6.23735e+006	7.1595e+006	4.99717e+006	1.02477e+007	6.53352e+006	49	10
P00734	1.81912e+006	1.42036e+006	1.62296e+006	1.55738e+006	1.6438e+006	1.32872e+006	1.51463e+006	1.63829e+006	1.39814e+006	1.95116e+006	2.2111e+006	1.64474e+006	1.49421e+006	1.57963e+006	1.57405e+006	1.48385e+006	1.37665e+006	1.48888e+006	1.5184e+006	970986	1.59227e+006	1.80716e+006	1.83994e+006	1.62135e+006	690266	1.46987e+006	1.81029e+006	1.626e+006	1.76284e+006	1.73492e+006	1.57864e+006	1.61682e+006	1.48801e+006	1.36223e+006	1.53369e+006	1.67789e+006	954202	2.34824e+006	2.07943e+006	1.30445e+006	2.06177e+006	1.22253e+006	1.67167e+006	2.04522e+006	1.4668e+006	1.86652e+006	1.48167e+006	852517	975456	1.66183e+006	1.6074e+006	1.69536e+006	1.29801e+006	1.33199e+006	1.6859e+006	1.82829e+006	2.05232e+006	1.48408e+006	1.11724e+006	2.40055e+006	1.36631e+006	1.87273e+006	1.43193e+006	1.57995e+006	1.47317e+006	1.3267e+006	1.39501e+006	1.78026e+006	959449	914202	1.41221e+006	1.7303e+006	1.60803e+006	1.36859e+006	1.60663e+006	2.06584e+006	911853	945407	1.59957e+006	1.37777e+006	1.35607e+006	1.30621e+006	2.03737e+006	2.19233e+006	2.13721e+006	1.56676e+006	1.62286e+006	1.53057e+006	1.34372e+006	1.5795e+006	2.01905e+006	1.34973e+006	1.73408e+006	1.51479e+006	1.9664e+006	1.40841e+006	1.37421e+006	1.85964e+006	1.86701e+006	1.41481e+006	1.12718e+006	1.52849e+006	1.22036e+006	1.96936e+006	1.75226e+006	1.33602e+006	1.3035e+006	1.70342e+006	1.94033e+006	1.68411e+006	1.50525e+006	1.18273e+006	1.79996e+006	1.46485e+006	2.03416e+006	1.32227e+006	1.61429e+006	1.31049e+006	1.53313e+006	1.3168e+006	1.61593e+006	1.81278e+006	1.43563e+006	1.53878e+006	1.92384e+006	1.65372e+006	1.79867e+006	923241	1.50496e+006	1.11145e+006	1.35719e+006	1.70414e+006	2.45729e+006	1.83492e+006	1.70494e+006	1.43947e+006	1.27972e+006	1.54929e+006	1.4673e+006	1.27297e+006	1.1296e+006	1.2865e+006	528995	2.11702e+006	2.47973e+006	1.98819e+006	1.68496e+006	654032	1.98783e+006	1.9273e+006	1.80984e+006	1.87597e+006	1.09257e+006	1.64522e+006	1.48579e+006	1.73662e+006	1.30723e+006	1.28112e+006	1.63902e+006	1.38666e+006	1.64829e+006	1.62194e+006	1.55316e+006	1.64985e+006	1.57986e+006	1.71021e+006	1.0232e+006	1.65763e+006	1.48093e+006	1.96049e+006	1.6394e+006	2.15369e+006	1.22065e+006	1.15338e+006	1.76747e+006	1.55495e+006	1.43559e+006	1.64908e+006	1.69553e+006	1.5146e+006	1.45362e+006	1.46431e+006	1.57218e+006	1.00566e+006	1.5395e+006	1.54463e+006	1.52341e+006	1.66581e+006	1.88708e+006	1.48367e+006	1.67314e+006	1.48617e+006	1.73874e+006	1.54819e+006	1.18646e+006	1.54828e+006	1.49073e+006	1.66256e+006	1.46663e+006	1.47441e+006	1.57774e+006	1.53393e+006	1.45699e+006	1.50407e+006	1.50148e+006	1.61639e+006	1.54349e+006	1.37344e+006	1.33588e+006	1.55802e+006	1.68998e+006	1.11325e+006	1.93891e+006	2.40181e+006	1.46759e+006	46	10
P00738	9.06358e+006	9.89823e+006	8.51072e+006	5.54198e+006	3.11695e+006	9.04972e+006	1.31542e+007	5.3566e+006	1.22599e+007	8.03268e+006	6.55971e+006	5.24806e+006	9.65433e+006	7.62143e+006	6.12238e+006	8.20031e+006	7.59139e+006	8.38874e+006	8.39611e+006	1.07074e+007	7.54125e+006	6.11002e+006	6.14608e+006	1.7006e+007	1.35037e+007	6.69421e+006	7.02137e+006	6.66624e+006	7.24561e+006	7.51404e+006	6.49621e+006	5.50384e+006	9.94969e+006	7.96356e+006	6.1915e+006	8.58106e+006	8.15833e+006	9.94168e+006	9.75417e+006	1.73319e+007	9.46759e+006	1.05948e+007	4.18107e+006	6.88854e+006	5.02687e+006	7.28592e+006	3.70947e+006	1.00754e+007	1.16491e+007	7.70689e+006	7.34457e+006	7.25309e+006	4.11418e+006	1.06732e+007	7.18602e+006	5.78473e+006	1.04583e+007	6.99601e+006	9.17617e+006	7.2519e+006	1.26133e+007	1.09721e+007	6.24607e+006	4.97698e+006	4.33556e+006	3.87503e+006	1.13516e+007	9.12742e+006	1.01527e+007	1.50767e+007	1.50089e+007	7.64562e+006	8.08603e+006	7.79217e+006	8.15862e+006	7.85733e+006	1.04748e+007	9.8986e+006	6.07236e+006	7.68742e+006	1.00669e+007	1.02026e+007	9.76969e+006	8.12065e+006	7.64773e+006	8.48702e+006	7.71704e+006	8.07511e+006	6.82911e+006	8.96633e+006	3.90192e+006	1.38853e+007	7.28038e+006	2.17842e+006	1.10306e+007	7.17037e+006	9.28278e+006	1.07125e+007	1.0455e+007	8.47714e+006	3.29016e+006	6.60001e+006	3.26718e+006	1.24622e+007	1.17653e+007	1.13108e+007	1.44633e+007	7.86935e+006	5.33344e+006	8.38929e+006	1.26193e+007	8.8024e+006	3.76349e+006	6.4689e+006	1.35749e+007	8.33995e+006	1.27953e+007	7.0713e+006	6.47177e+006	7.19426e+006	7.62414e+006	1.09348e+007	7.72709e+006	8.2776e+006	7.72062e+006	7.8532e+006	9.77656e+006	1.29027e+007	5.34583e+006	6.14802e+006	1.02184e+007	7.02979e+006	8.80138e+006	1.03288e+007	7.74187e+006	5.88026e+006	5.44061e+006	1.35242e+006	1.07844e+007	1.15919e+007	1.29766e+007	4.27594e+006	1.20292e+007	8.19441e+006	5.68284e+006	6.77192e+006	7.44021e+006	1.12522e+007	8.67027e+006	8.52157e+006	8.70158e+006	8.65575e+006	7.56513e+006	1.11915e+007	7.08812e+006	3.44078e+006	8.24978e+006	8.8519e+006	1.00365e+007	7.31974e+006	8.28713e+006	1.04536e+007	5.67932e+006	7.93291e+006	1.04297e+007	9.98098e+006	5.1841e+006	1.00517e+007	4.64737e+006	8.20179e+006	1.17407e+007	9.91054e+006	8.68758e+006	6.56133e+006	7.48979e+006	8.58645e+006	1.11692e+007	3.85687e+006	7.09757e+006	7.39273e+006	1.17234e+007	6.71728e+006	8.41873e+006	8.31588e+006	7.3877e+006	1.04535e+007	6.98665e+006	7.80153e+006	5.29635e+006	1.54414e+007	8.93292e+006	1.14368e+007	8.05618e+006	7.3951e+006	8.2347e+006	7.59518e+006	6.90059e+006	2.5039e+006	8.17914e+006	8.32456e+006	8.89714e+006	8.6258e+006	5.0115e+006	1.30317e+007	1.3772e+007	7.83036e+006	6.02449e+006	3.45625e+006	1.12187e+007	9.10166e+006	3.29117e+006	9.53039e+006	8.88273e+006	6.92808e+006	1.14817e+007	47	10
P00739	762480	529279	674590	778775	599108	699992	1.00775e+006	427265	266573	693238	899943	352207	1.33635e+006	995915	780445	272023	825211	1.22314e+006	533658	658144	571319	604114	613726	990707	972237	418123	572861	653291	624163	649400	713846	929782	597227	681322	780547	669148	351777	439723	534991	752302	154808	888986	601291	1.43742e+006	529015	606259	735888	402612	1.31175e+006	486044	733230	560400	695008	1.07604e+006	950066	565140	723077	483825	417715	886341	981684	770538	542455	465966	597350	516953	746250	685857	438298	810488	637563	650419	659765	325497	633602	618802	367895	1.06761e+006	771181	737859	859814	851061	763104	813593	416411	571322	544780	560413	679773	863535	557899	838143	623879	652738	963001	554267	554597	654096	666782	870073	773262	831223	843763	568478	641329	292769	644130	338257	781540	831612	887102	837340	629588	869643	618449	702058	375992	427016	685878	415720	1.0588e+006	1.19996e+006	534968	552341	638089	674098	1.07033e+006	407601	607649	606245	816119	742832	688779	915571	726784	882156	737635	301570	615822	984894	1.44994e+006	630371	291787	829339	628032	513377	825878	406595	905595	941594	528481	516416	584740	808937	1.00748e+006	730242	582049	825462	607955	675304	557228	830778	485115	1.13071e+006	398027	691783	705632	335811	935564	688660	1.04905e+006	529553	276881	1.06987e+006	657590	779900	508904	587101	802557	378744	668734	309638	863039	881218	591973	1.09612e+006	718678	984539	542120	664351	854708	187403	765979	582236	845039	750964	770758	448273	587262	621057	557863	514357	984750	503128	407331	740076	595946	223246	643424	910133	451138	620440	621584	1.13957e+006	872626	48	10
P00740	105365	94067	100587	112605	85355.8	156013	99748.7	92393.3	78189.2	96440.8	117781	102586	103845	99248	93779.4	93939.4	117180	79164.5	101141	119335	125965	114077	113510	77509.7	97188.5	101092	105177	101541	94364.2	93499.6	97670.2	117199	110823	113599	89854.3	89257.4	97294.4	99389.7	115992	99015.1	97507.7	134895	130143	94647.4	115509	87521.1	84960.5	108299	92912.1	97027.6	85908	113887	93929.4	99623.2	123572	68777.9	113168	97768.7	119524	93257.9	120136	70086.1	89402.8	75924.8	48742	127257	100477	42506.9	99217.7	102641	63462.3	99539.3	95690.9	89177.1	90584.8	106920	102820	84008.4	103434	93243.6	117610	116478	118576	88848.3	102117	99443.5	98322.9	104133	117304	66342.7	111470	142353	113301	115388	100063	91240	100238	113583	108752	104284	84052.2	96140.5	86435.1	125109	96544.2	132701	131112	92933.9	111140	92608	115562	117133	79603.7	62746.2	71402.2	81668.2	160079	114481	146655	138238	74092.6	87596	103275	118888	110127	114218	115507	83340.8	94818.9	90266.6	94897.8	97357.8	96744.3	138036	100208	78372.9	128492	96793.5	113189	101532	124169	89465.1	51350.4	97765.4	120435	114603	123099	103051	103971	93545.7	102410	108606	95255.5	123447	98678.2	92167.6	103035	98545.3	107179	112621	94741.6	93327.8	102499	108094	90463.6	90735.6	88554.9	90502.6	92403.8	100996	152266	113630	135113	84160.4	97457.8	106470	125236	108633	91129.4	97536.8	94093.7	70879.1	115351	99918.4	109564	123046	95428.3	98110.4	87532.7	114308	79535.7	107649	96589.4	109408	105701	111814	116112	90657.7	99710	102300	100355	97783.2	96259.9	127209	117547	93028.9	85336.1	83177.4	98305.3	107152	104573	105952	121455	89561.2	93506	29	6
